"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10139","Sub location: new sub-location persists in the grid","chromium","2026-07-03","passed","2026-07-03","","admin\admin-master-creation.spec.ts","",""
"","8416","Berth master screen loads with search, New button and grid","chromium","2026-07-03","passed","2026-07-03","","admin\admin-master-screens.spec.ts","",""
"","0","Truck Load screen opens with expected fields and tabs","chromium","2026-07-03","skipped","2026-07-03","","truck\truck-load.spec.ts","",""
"","6568","Tanker Type master screen loads with search, New button and grid","chromium","2026-07-03","passed","2026-07-03","","admin\admin-master-screens.spec.ts","",""
"","7269","Machinery master screen loads with search, New button and grid","chromium","2026-07-03","passed","2026-07-03","","admin\admin-master-screens.spec.ts","",""
"","8482","Rake Load screen opens with expected fields and tabs","chromium","2026-07-03","passed","2026-07-03","","rail\rail-load.spec.ts","",""
"","1","search filters the ship grid by customer","chromium","2026-07-03","skipped","2026-07-03","","ship\ship-overview.spec.ts","",""
"","6243","Sub location master screen loads with search, New button and grid","chromium","2026-07-03","passed","2026-07-03","","admin\admin-master-screens.spec.ts","",""
"","12997","Tanker Type: new tanker type persists in the grid","chromium","2026-07-03","passed","2026-07-03","","admin\admin-master-creation.spec.ts","",""
"","30455","Berth: new berth persists in the grid","chromium","2026-07-03","failed","2026-07-03","","admin\admin-master-creation.spec.ts","",""
"","7454","opening a party shows Rail Overview with Mine to Port / Port to Plant tabs","chromium","2026-07-03","passed","2026-07-03","","rail\rail-navigation.spec.ts","",""
"","112","API test GET","chromium","2026-06-29","passed","2026-06-29","","fake-api.spec.ts","",""
"","13353","Wagons: new wagon type persists in the grid","chromium","2026-07-03","passed","2026-07-03","","admin\admin-master-creation.spec.ts","",""
"","0","New Truck Operation can be created and persists in the grid","chromium","2026-07-03","skipped","2026-07-03","","truck\truck-creation.spec.ts","",""
"","14023","Locations: new location persists in the grid","chromium","2026-07-03","passed","2026-07-03","","admin\admin-master-creation.spec.ts","",""
"","18215","Wagons master screen loads with search, New button and grid","chromium","2026-07-03","failed","2026-07-03","","admin\admin-master-screens.spec.ts","",""
"","18417","Users master screen loads with search, New button and grid","chromium","2026-07-03","failed","2026-07-03","","admin\admin-master-screens.spec.ts","",""
"","7095","Party master screen loads with search, New button and grid","chromium","2026-07-03","passed","2026-07-03","","admin\admin-master-screens.spec.ts","",""
"","14300","New Ship / Vessel Operation can be created and persists in the grid","chromium","2026-07-03","passed","2026-07-03","","ship\ship-creation.spec.ts","",""
"","1","user can login and reach the dashboard","chromium","2026-07-03","skipped","2026-07-03","","smoke\login.spec.ts","",""
"","6822","New Ship / Vessel Operation form opens with expected fields","chromium","2026-07-03","passed","2026-07-03","","ship\ship-creation.spec.ts","",""
"","4926","Parties KPI card navigates to the Rail party dashboard","chromium","2026-07-03","passed","2026-07-03","","dashboard\dashboard.spec.ts","",""
"","7028","Sidings master screen loads with search, New button and grid","chromium","2026-07-03","passed","2026-07-03","","admin\admin-master-screens.spec.ts","",""
"","4962","Rail party dashboard lists operations parties","chromium","2026-07-03","passed","2026-07-03","","rail\rail-navigation.spec.ts","",""
"","1","Vessel Load screen opens with expected fields and tabs","chromium","2026-07-03","skipped","2026-07-03","","ship\ship-load.spec.ts","",""
"","10118","Subsidiary: new subsidiary persists in the grid","chromium","2026-07-03","passed","2026-07-03","","admin\admin-master-creation.spec.ts","",""
"","1","ship grid paginates to the next page","chromium","2026-07-03","skipped","2026-07-03","","ship\ship-overview.spec.ts","",""
"","6141","Vessel Discharge screen opens with expected fields and tabs","chromium","2026-07-03","failed","2026-07-03","","ship\ship-discharge.spec.ts","",""
"","30299","Creation Rail","chromium","2026-07-03","failed","2026-07-03","","rail\rail-creation.spec.ts","",""
"","12196","Sidings: new siding persists in the grid","chromium","2026-07-03","passed","2026-07-03","","admin\admin-master-creation.spec.ts","",""
"","0","search filters the truck grid by party","chromium","2026-07-03","skipped","2026-07-03","","truck\truck-overview.spec.ts","",""
"","9300","Rake Discharge screen opens with expected fields and tabs","chromium","2026-07-03","passed","2026-07-03","","rail\rail-discharge.spec.ts","",""
"","0","truck grid paginates to the next page","chromium","2026-07-03","skipped","2026-07-03","","truck\truck-overview.spec.ts","",""
"","6130","Subsidiary master screen loads with search, New button and grid","chromium","2026-07-03","passed","2026-07-03","","admin\admin-master-screens.spec.ts","",""
"","7028","Locations master screen loads with search, New button and grid","chromium","2026-07-03","passed","2026-07-03","","admin\admin-master-screens.spec.ts","",""
"","136","API tets GET","chromium","2026-06-29","failed","2026-06-29","","fake-api.spec.ts","",""
"","0","New Truck Operation form opens with expected fields","chromium","2026-07-03","skipped","2026-07-03","","truck\truck-creation.spec.ts","",""
"","7688","Equipment: new equipment type persists in the grid","chromium","2026-07-03","passed","2026-07-03","","admin\admin-master-creation.spec.ts","",""
"","18514","Machinery: new machinery type persists in the grid","chromium","2026-07-03","passed","2026-07-03","","admin\admin-master-creation.spec.ts","",""
"","4085","KPI cards are visible for contracts, parties, rails and ships","chromium","2026-07-03","passed","2026-07-03","","dashboard\dashboard.spec.ts","",""
"","9010","Equipment master screen loads with search, New button and grid","chromium","2026-07-03","passed","2026-07-03","","admin\admin-master-screens.spec.ts","",""
"","0","Truck Discharge screen opens with expected fields and tabs","chromium","2026-07-03","skipped","2026-07-03","","truck\truck-discharge.spec.ts","",""
